Blac_P24,B_lac-P24.protein.fasta,B. lactucae P24
INRA-,plasmopara_viticola_INRA-PV221.translated_proteins.PBv1.fasta,P. viticola INRA-PV221
Plas_vit-,Plas_vit.protein.fasta,P. viticola JL-7-2
Plas_hal-,Plas_hal.protein.fasta,P. halstedii
Per_tab-,Per_tab-T1.protein.fasta,P. tabacina
Per_eff-,Per_eff-R13.protein.fasta,P. effusa
Hya_arab-,Hya_arab.protein.fasta,H. arabidopsidis
Psu_cub-,Psu_cub.protein.fasta,P. cubensis
Phy_par-,Phy_par.protein.fasta,P. parasitica
Phy_inf-,Phy_inf.protein.fasta,P. infestans
Phy_cap-,Phy_cap.protein.fasta,P. capsici
Phy_cin-,Phy_cin.protein.fasta,P. cinnamomi
Phy_ram-,Phy_ram.protein.fasta,P. ramorum
Phy_soj-,Phy_soj.protein.fasta,P. sojae
